Fannie Mae Projected Environmental Impact At Issuance Per CUSIP: Multifamily Green MBS(1)(2),,,,,,,,,
2012-2022,,,,,,,,,
© 2023 Fannie Mae,,,,,,,,,
,,,,,,,,,
Security CUSIP,(notes),Green Financing Type,Issue Date,"Issuance UPB
($USD)","Estimated Annual 
Energy Savings (3)(4)
(kBTU) ","Estimated Annual 
Emissions Savings (3)
(MTCO2e) ","Estimated Annual 
Water Savings (3)
(gallons) ",,
3140LEWC7,,Green Building Certification,1 Jan 2022," 13,973,000 "," 1,439,546 ", 55 , -   ,,
3140LEWN3,,Green Building Certification,1 Jan 2022," 36,246,000 "," 2,020,427 ", 86 , -   ,,
3140LEWU7,,Green Building Certification,1 Jan 2022," 30,157,000 "," 1,404,859 ", 52 , -   ,,
3140LEYA9,,Green Building Certification,1 Jan 2022," 34,280,000 "," 1,099,666 ", 49 , -   ,,
3140LEYN1,,Green Building Certification,1 Jan 2022," 67,509,000 "," 637,579 ", 31 , -   ,,
3140LEYV3,,Green Building Certification,1 Jan 2022," 34,441,000 "," 2,954,274 ", 132 , -   ,,
3140LEYW1,,Green Building Certification,1 Jan 2022," 43,931,000 "," 4,246,315 ", 176 , -   ,,
3140LEYZ4,,Green Building Certification,1 Jan 2022," 73,272,000 "," 1,956,364 ", 62 , -   ,,
3140LEZC4,(5),Green Building Certification,1 Jan 2022," 26,665,000 ", -   , -   , -   ,,
3140LEZG5,,Green Building Certification,1 Jan 2022," 64,000,000 "," 6,177,414 ", 227 , -   ,,
3140LEZL4,,Green Building Certification,1 Jan 2022," 64,750,000 "," 2,566,010 ", 109 , -   ,,
3140LFAJ3,,Green Building Certification,1 Jan 2022," 26,975,000 "," 741,309 ", 24 , -   ,,
3140LFAZ7,,Green Building Certification,1 Jan 2022," 32,600,000 "," 2,503,157 ", 104 , -   ,,
3140LFB29,,Green Building Certification,1 Jan 2022," 82,500,000 "," 6,304,570 ", 244 , -   ,,
3140LFBU7,,Green Building Certification,1 Jan 2022," 13,000,000 "," 296,481 ", 9 , -   ,,
3140LFBY9,,Green Building Certification,1 Jan 2022," 9,270,000 "," 1,121,204 ", 61 , -   ,,
3140LFCA0,(6),Green Building Certification,1 Jan 2022," 52,750,000 "," 920,234 ", 30 , -   ,,
3140LFCN2,(5),Green Building Certification,1 Jan 2022," 8,407,000 ", -   , -   ," 151,356 ",,
3140LFDK7,(5),Green Building Certification,1 Jan 2022," 16,732,000 ", -   , -   , -   ,,
3140LEPF8,,Green Rewards,1 Jan 2022," 4,200,000 "," 3,922,592 ", 258 ," 5,669,440 ",,
3140LEPQ4,,Green Rewards,1 Jan 2022," 95,870,000 "," 13,376,133 ", 683 ," 7,354,280 ",,
3140LEVL8,,Green Rewards,1 Jan 2022," 15,149,000 "," 1,107,396 ", 70 ," 1,481,470 ",,
3140LEXX0,,Green Rewards,1 Jan 2022," 12,650,000 "," 2,626,853 ", 188 ," 2,097,590 ",,
3140LFAF1,,Green Rewards,1 Jan 2022," 20,020,000 "," 3,672,697 ", 263 ," 1,851,060 ",,
3140LFCU6,,Green Rewards,1 Jan 2022," 18,500,000 "," 3,419,931 ", 245 ," 2,027,190 ",,
3140LFCV4,,Green Rewards,1 Jan 2022," 28,600,000 "," 3,560,942 ", 255 ," 2,345,210 ",,
3140LDRG6,(5),Green Building Certification,1 Dec 2021," 2,100,000 ", -   , -   , -   ,,
3140LECR6,,Green Rewards,1 Dec 2021," 15,405,000 "," 2,993,911 ", 206 ," 657,520 ",,
3140LEDV6,,Green Building Certification,1 Dec 2021," 10,260,000 "," 568,928 ", 19 , -   ,,
3140LEGK7,,Green Building Certification,1 Dec 2021," 110,000,000 "," 5,080,953 ", 195 , -   ,,
3140LEGQ4,,Green Building Certification,1 Dec 2021," 33,000,000 "," 2,048,878 ", 79 , -   ,,
3140LEJ24,,Green Rewards,1 Dec 2021," 35,500,000 "," 8,389,941 ", 589 ," 2,347,720 ",,
3140LELE5,,Green Rewards,1 Dec 2021," 15,067,000 "," 2,880,162 ", 206 ," 838,030 ",,
3140LELH8,,Green Building Certification,1 Dec 2021," 46,173,700 "," 2,532,994 ", 124 , -   ,,
3140LEN52,,Green Building Certification,1 Dec 2021," 44,647,000 "," 4,598,041 ", 237 , -   ,,
3140LEP50,(5),Green Building Certification,1 Dec 2021," 96,894,000 ", -   , -   , -   ,,
3140LEPK7,,Green Building Certification,1 Dec 2021," 17,600,000 "," 1,136,588 ", 55 , -   ,,
